step,full_eval,forget_acc,retain_acc,forget_target_logprob,forget_entropy,forget_loss,grad_norm,method,retain_loss,lambda_forget,lambda_retain,forgetting_amount,retain_damage
40,True,0.0,0.0,-58.054326343536374,6.953375816345215,7.271469593048096,0.9511983394622803,gradient_ascent,,,,0.0,0.0
40,True,0.0,0.0,-58.571281623840335,7.041661262512207,7.280601978302002,0.9963966012001038,rr_lf1.00_lr0.00,7.270705699920654,1.0,0.0,0.0,0.0
40,True,0.0,0.0,-58.9993221282959,6.925780773162842,7.346639156341553,0.7056242823600769,rr_lf1.00_lr0.25,7.32127046585083,1.0,0.25,0.0,0.0
40,True,0.0,0.0,-58.1107702255249,6.9312944412231445,7.279088497161865,0.6318511962890625,rr_lf1.00_lr0.50,7.350179195404053,1.0,0.5,0.0,0.0
40,True,0.0,0.0,-58.438235187530516,6.951446533203125,7.350061416625977,0.5759353041648865,rr_lf1.00_lr1.00,7.237593650817871,1.0,1.0,0.0,0.0
