configuration,task_success,joint_success,upr,uer,review_rate,mean_tool_calls
broad / policy enforced,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333
role_based / policy enforced,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333
task_scoped / policy enforced,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333
broad / no enforcement,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,2.0
task-scoped / approval_gate=False,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,2.0
task-scoped / approval_gate=True,1.0,1.0,,,0.3333333333333333,2.0
